airline_sentiment,text
1,united even multiplier ticket price still never equal amount miles travel even transatlantic flights
0,united missed connection wrong city bags palm springs hotel seriously tired treated way
0,united bags lax like promised things today mess today
0,united dang thought teleportation device ua
2,united received bag appreciate taking care matter following
0,united still received response please direct message contact information
0,united waiting bag iah mins freaking people flight waiting bags fix
1,united game one reason payed directv something could work url
2,united take note great example jetblue actually making good extremely inconvenient situation url
0,united rtb gt iah first class wife global services headaches due neighbors smoking e cigarettes contact pls
0,united federal regulation prohibits separated bag yet lose bag okay
0,united tried check mins flight rather mins stonewalled employees
1,united hello wondering long might take turkish airlines flights show united miles thanks
0,united guys working planes
0,united almost major accident ua passing information us waiting plane
0,united said go take time go knowing issue knowing fix
0,united hour delay plus jetway move biz traveler never flying u
0,united son passenger flight chicago toronto plane came within feet colliding another plane stopped
2,united made mad called bag number person helpful told bag really
0,united yes airport person told bag still nashville filed claim
2,united thing fella done right today get pacific time zone
0,united ugh bags sent palm springs lax promised better hotel get
0,united direct messaged hear anything back
0,united yup happens way often times last months
1,united great thank send
0,united handle bag issues put onto first place
2,united big pilot turning hr tarmac min delayed arrival
1,united returned vacation went luggage services golf bag presented clear wrap could used first place
0,united holiday lifetime new york ruined lost luggage failed find since sunday wontflyagainwithyou
0,united golf bag top cover staffers said check without type cover wrap forced leave bag
0,united offer real food american clubs like amazing food offer heathrow
0,united bag lost travel united please something
1,united annricord
0,united stuck plane hour due mechanical faults updates please happened way newark lhr
0,united flight unfortunately isolate flightd incident waited less min years
0,united mention one bag infant car seat amp stuck yr poor replacement icy mtn roads
0,united ur hemispheres magazine open u make flight pleasant url
0,united hard believe since staff sfo checked someone name ritacomo flew ewr day
0,united late flight tired understandably edgy trying catch flight chipper def rude
0,united rude cust ser agents busy chatting yelled bc took pic put stdby seat diff agent gave seat min late flightr platinum
0,united frequent user congrats u lost bags years problem today staff rude still bag
2,united sivi stewart lax fantastic tonight helping find lost item us airport much thanks
0,united yes though located bag yet lovely flight outside
2,united got home amid snow amp cancelled flightlations delivered bag w hassle plus wait phone amp upgrade thank
0,united wife phone several times past days result
0,united saying customer care report anyone response humiliating company serves public
0,united unitedairlines feedback benefit correct atrocious customer service good know
0,united unitedairlines fill form never receive response expect remedy travel another airline cancelled flight members w u
0,united ewr lax ua seat armrest broken discover takeoff flight full fa filed report chat partial refund
0,united told go knowing issue go find fix
0,united made way airport say fix handle showed problem said go
1,united link tweet goes someone internal email gt url probably one rd party contracts
0,united bother responding customer service worst never using guys
1,united flight houston
0,united free hotel make poor customer service disregard
0,united messed refuse wait min united fault delay leave early absolutely disgusting
0,united mechanical delay occurred houston earlier today flight ord
1,united ord roc fam came see sna member dad used miles
2,cc dadboner boldflavors united bringing bourbon st ft bold flavors fresh ingredients dining options
0,united thx checking never got via phone hold hour long long wait hold ugh csfail
1,united referral program milageplus explorer card
0,united else would know denied
1,united obviously
0,united allow shady rd party services sell tickets refuse help customer left holding bag flyunited
0,united hours phone hung want different flight day open seat greatservice
0,united maintenance issues undetermined amount time mechanics even arrive
1,united sent email describing experience looking forward follow hopefully make right
2,united chicago hometown airline care neighbors savethediagonals flyquiet ordnoise
0,united annricord cost one round trip tickets
2,united give cyndi amp troy gold star
2,united flight attendant superben super helpful finding bag left flight today excellent customer service name fits
1,united changing rno den non stop may late flight morning early afternoon
1,united unitedairlines wont wait min fam w yr old connecting flight leaves early instead airport planes last stop today
0,united go back airport working time telling seriously way
1,united instead bourbon street quiet planes savethediagonals
0,united denver supposed boarding right yet land
0,united years never many issues airline
0,united haha fine still fly united ever seems like guys problems anyone else
0,united note traveling w yr old unreal
0,united plane staying overnight next airport roc u make min air instead waiting u leave early
2,united traveling guests mileage plus member using members miles great customer service
0,united mechanical issues causes delay connecting plane ord needed wait min refused left early instead wtf
1,united captain apologize delay company looking open gate glance starboard side see open gates
1,united reinstating kosher meals dropped shortly merger
0,united one jfk lax r u upgrading planes plane screens lousy seats unitedfirst
1,united possible upfare p segment gpu waitlisted
2,united bringing game premium cabin dining nice url
0,united already vomit halfway
0,united amazing hard talk customer service
0,united fair enough stinks passenger plane leaves gate sits tarmac hour takeoff
0,united held flight group nearly people
0,united guys suck delay flights hold connectors minutes worstairlineever
1,united want plane dad
0,united time rant delayed flight still forgot luggage delayed tarmac moments love united
0,united international flight get new eta air
2,united think rough moment w bad passenger earlier flight things got considerably better thanks
0,united thanks rude customer service hour delay really helped timing wise afternoon meetings hello delta
0,united useless response need functioning wheelchair customer care form fill
2,united awesome thx thx replying damn fast sure hell beats cheeze hold music
1,united cabin functionality mean taking customer satisfaction survey
0,united cab ride dfw love got bag reimburse
0,united gg unbelievable hypocrisy
2,united thanks getting businessfirst priority tagged bag onto connecting flight ewr despite hour layover nice job
2,united amazing flying miles unitedairlines amp alliance last year still got jilted status moneyelsewhere
0,united top csr went ahead hung called united discuss
0,united finally memphis landed minutes ago still bags paying service gets worse
0,united thanks terrible experience ewr customers treated priority inconvenience tryagain
1,united rd party service known ezee flights man confirmed born india told name steve wilson
0,united third wheelchair broken url
2,united met customer service arrival flight ua pvd iad thanks guys really handled storm
2,united ooh thanks
0,united flight pm still airport gee service care nope delayed
0,united disappointed cc purchased ticket online w voucher charge full amnt would hold price refund unacceptable
0,united exactly states secure document nexus card state passport must always also presented read
1,united told united carry carry back refund
1,united leave work would possible would love replaced
0,feel completely cheated united read commitment customer service via website def get service suggested
0,united annricord agents said would refunded agents said united never sold us ticket
0,united air traffic crew could get shit together one would notice rudeness ground staff
0,united problems link thparty
0,united feel well informed yes flight indeed delayed thank url
0,united pay coach plus told preboarding overhead bins full
0,united get help changing ticket minutes hold counting
2,united thanks help totally appreciate made super easy
0,united told supervisor united disconnected customer support nobody address igiveup
0,united mileageplus signup page broken
0,united wifi tell family gon na late flight cause sit grounded plane past two hours
0,united fyi continuous texts emails getting delay held captive tarmac helpful
0,united late flight broke luggage handle paying new one url
0,united friendly skies today hr weather delay sfo followed hr mechanical delay sitting plane nofun
0,united customer service rep rude asked question turn got attitude jane help disgusted
0,united see thread
0,united poor old united never seem get response right
0,united obviously staff ewr united otherwise seen ads friendly helpful ewr worst airport
0,united also pre select seats sfo gt yyz flight canadian flight booking problems url
1,united forelock guarantee fare fare amp seats
2,united thanks
0,hypocrisy rt united gg sorry able offer full refund exchange rate hoping kp
0,united spend hotel weather delay weather something completely control
0,united eventually approach bags like alaskaair get
0,united nyc flight delayed miss connection sacramento chicago
0,united said would give us refund days late flightr refund
0,united know weight plane us sitting plane hrs convinced company safe flt
0,united showed flight several hours early tried call amp hold min b f call disconnected
0,united policy changed must advise time purchase choose vary airport want full refund
0,united wanted cancelled flightled tickets special guess even united
0,united flight booking problems without major problems bad
0,united el ingeniero check baggage lose
0,united hoping miss lax ito connection looking forward stuck lax overnight team
0,united well perhaps could highlight stated travel canada amp usa united nexus
0,united know two hours us sitting plane bags loaded planes weight
0,united make hard fly delayed hour plane turning around amp heading back gate connection
0,united serious firing needs happen hnl broke wheelchair loaned broke mine url
0,united call customer service course say theres nothing offer transfer disconnect line
0,united submitted third time please check confirm receipt taken screen shots case disappears thanks
0,united already rescheduled flight cancelled flightled hotel room paid
0,united classic
2,united elizabeth washington dulles hooked new connecting flight gate super pleased
2,united thanks
1,united economy plus cabin also qualifies premium cabin
0,united flight ua sitting tarmac mins report input
0,united rd party service use sell tickets ripped excellent service united offering
1,united thanks
1,united yesterday sorted
0,united thanks advice helpful believe guys actually charge people fly united
0,united issues united airlines please retweet paid full fight ticket given standby instead
0,united tried log told e mail log currently available
0,united gg cancelled flight tickets thousands people like exchange rate doublestandards
1,united e mail address write account might less likely disappear
0,united wasted mins filling online forms telling receive know happen time
1,united amsterdam ewr
0,united stuck iah waiting flight honolulu hours due maintenance issues could gotten new plane fail
0,united unitedappeals gg kind hypocrisy cancelled flightling tickets bad exchange rate advantage united
0,united entire problem never sent anything via email given flight booking problems number phone
0,united calling number useless heading airport pick bags whole situation seems like real joke
0,united get first class flights rebooked
1,united gate agent club staff got priority standby next might minor disaster travelingwithsmallkids
0,united sending posting complete details circumstances surrounding matter united airlines ashamed
0,united hidden city forces crappy seat even though exit row available first leg support fix
2,united jt thanks help complete form back home
0,united missed incoming time sat jetbridge driver missed min connection time flight
1,united gg ladies gents united airlines
2,united might dealing frustrated passenegers hope great day thank much amazing airline
1,united allright last question power outlets flight available premium cabin include economy plus cabin
1,united well la hr car ride dark palm springs technically maybe get bumped st class den phl friday
0,united yes still need assistance flight home due change flight u made miss connections
1,united believe follow order send dm
0,united thanks would like apology full refund please confirm receive
1,united hi email share details thanks frank postsecret com
0,united got bad exchange rate want money back please refund without penalty
0,united flight ua denver rmoug cheduled times show know ridiculous
0,united using automated responses decency actually care respond
0,united jt issue missed connections early gate closings zero concern customer service
0,united thinking could say many nice things getting upgraded delayed flight ok
1,united explain rewards us elite premiere k members
1,united birthdays fianc amp want travel late flight april fave airline frontier url
1,united resending confirmation code dm
0,united dm details back started phone number reach reply either online phone
1,united airlines ceo jeff smisek disloyal loyal workers url via huffpostbiz
1,united guidelines say x x bag x x bit taller guidelines gon na problem
2,united thank wish lady little rock told morning asked
0,united claim number back iad baggage since phone call speak someone
1,united think problems newark nj saturday due expected snow
1,united got following united page
2,united thank speedy response figured may something nature guys fine print haha
0,united worst service ever
0,united thanks attention would actually like make specific complaint customer service dca best option
0,united believe united find someone simply check seat back missing passport loved united debating choice
0,united furious firm disgrace despite efforts zero protect daughter alone night united
2,united holy high speed internet batman speeds united club iad insanely fast thanks
0,united website flight booking problems experience obnoxious upsell laden disaster anyone half brain
1,united mrandyep like weeks flight creative
0,united flt major delays bc ground crew slow flight crew terrific hours ground
0,united sorry hate united get see family thursday
2,united thanks timely service amp great staff getting wife cancun past week honeymoon
2,united done thanks
1,united currently standby lax hour ride palm springs long day starting snowy philly
0,united customer service mileage plus customers disgrace spent min phone reset pin number luck
1,united given flight booking problems reference number
0,united changes way stick premiere k loyal customers make things harder loyal
0,united thanks offer finally made destination albeit hours late flight
0,united airlines cancelled flights oc fll flight today switch notice apology done flying unitedairlines
1,united send another confirmation email
0,united would super paid much attention actual fliers credit card holders
0,united travel lot get still fave ewr cleveland w min layover connect dc best option come
0,united pm bags still even courtesy toiletries kit flight experience expecting disappointed
0,united airlines cancelled flights oc fll flight today switch notice apology done flying unitedairlines
1,united sorry wrong link bag url thats one meant
0,united flight lax iad back rows cleaned prior boarding gross find used tissues seat please
2,united thank
1,united take lesson virginamerica know treat customers
0,united plus horrible seating poor customer service everywhere flown take away mileage program horrible
0,united learn listen customers want want virginamerica asks customer want
0,united customer service
0,united priceless united stranded daughter hare united zero keep safe alone plastic chair h united air
1,united hi updates
1,united could tell bag would accepted personal item bring one carry bag plus url
0,united finally cancelled flightled
0,united link email offers u sent year buy transfer miles last expired url
0,united thanks finally made missed meetings
0,united flight originally supposed leave pm amp leave nd time happened
0,united supposedly delivery believe see
0,united thank yes hoping speak someone directly appreciate link nonetheless
2,united sure waited min yay
0,united hi jh experience united entirely disgusting yes like assistance getting compensated bag
2,united took picture thursday awesome url
0,united probably someone returned call email case number
0,united even fit name first two lines yes please pass feedback big downgrade previous years
2,expiring united offer buy transfer united mileageplus miles discount many offers year url
0,united flight cancelled flightlations one due weather one mechanical paid hotel bag held transfer voucher compensation
0,united got email reservations got cancelled flightled refunded nothing got refunded yet
0,united offer flight cancelled flighted stranded away home work
0,united really trying today
2,united looks like settled going thx
1,united flt two updates last minutes
0,united busy taking needed get audition
1,united never given one
0,united quick response offering assistance lack follow really service expecting
0,united stuck iad going hours waiting ferry flight nashville u tell arrive ridiculous
0,united flt gate agent announcements unprofessional time go back delta
2,united thanks kp please also mention quiche breakfast tandoori chicken dinner entrees accompaniments truly first class
0,united flt departure time changed five times last minutes figure solution announce
0,united bags still houston since friday still reimbursed baggage fee
0,united tell
0,united flight already cancelled flightled trying get home two days staff unhelpful
0,united flight worse last flight attendants even know whether plane equipped power outlets seats
0,united flight agent wandered pilots came looking went charge personal phone txting
0,united waiting flight memphis incredibly rude gate agent waited departure time announce delay rude
0,united see need spend extra bc ur equipment failure
0,united need make changes reserved seats bought tickets error amp comp seats
0,united power outlets seats hour flight california seriously airlines failing pathetic
0,united thanks kp luckily transfer maintenance issues still delayed miss transfer
1,united received e mails either inbox junk spam
0,united could please send phone refunds department submitted claim email without success
0,united person sitting denver three hours want get plane please let go home
0,united flight delayed three hours pilot never showed
0,united need get ric tonight ewr hrs
0,united next flights miami another airline
0,united super frustrating folks united ticket counter pittsburg honoring media rate unitedfail
0,united minutes arrival bags people ua den ewr long wait ual rep comes
1,united policy behind changing passengers seating assignments gate
0,united karen found unhelpful rude called united time amp told could board karen would accept
0,united crossed prior times carriers issue karen rude untrained unhelpful also spoke
0,united nexus confirmed crossing via air car boat travel nexus
0,united employee yelled employee stood others whispering pointing behind counter
0,united refused boarding nexus nexus confirmed refused
2,united good note employees encountered newark fabulous late flight connecting flight got
0,united u lost bag would refund bag fee make sense yes already called cust svc said
0,united yall tried little bitty plane flying boston hate little planes
2,united good thing holding flight peeps late flight connecting flight still make destination time
1,united q purchased ticket hawaii trip late flight march mean acquire miles based price distance flown
2,united stay warm passing chicago next week
0,united refund request functionality url broken get time error
0,united ny njairports newark land minutes early lose time waiting tarmac gate
0,united giving direct flight iah honolulu rd attempt years rd delay meal voucher wow customer service
1,united played bizarre safety video ever seen url
0,united nearly hours late flightr still idea never fly united help
0,united wi fi broken plane outage friday southwest get right every plane united
2,united wifi onboard far superior pricing performance user perceived bandwidth late flightncy recent gogo experiences
0,united second day amp attempt trying leave iad amp another plane delayed mechanical issues hour delayed
1,united direct number call request refund telling valid changed ticket number site
0,united plane coming delayed almost hours plane
0,united fast enough excuse service big hubs outdated craft southwest wifi awful
2,united thankful great service newark seats fixed seated daughter fab landing fort myers
0,united mother flight delayed phl ord way nrt gate refused upgrade platinum blegh
0,united late flight everyone braved weather passengers waiting flight crew really
0,united miserable trip lost bag sat found mon lost shipping nd day ground tues might return flight home
0,united spending afternoon mia fault lounge inconvenient
0,united costumer service sucks waiting week response
1,united way get copy feb edition hemisphere magazine flying
0,united somehow think going stuck paying hotel room denver without winter clothes dime guess see
1,united normally ask people put headphones toddlers maybe planes kid section near back
0,united course need help dming ladies gents day solution hope best lax
1,united confirmation number njv bp need email confirmation flight nyc sfo feb
1,united changing mileageplus program winners losers url airline travel loyalty rewards
2,united brandi zabsonre denver deserves raise bringing delight terrible travel situation big ups url
1,united thank next flight durango driving farmington new mexico work hitting slopes durango
0,united denied use rear facing car seat ua erj confirm actual policy
0,united better hold flight tucson landed houston hour delay minor computer problem
1,thx stand united rajuchinthala know frustrating appreciate patience try get way jh
1,united roundtrip tickets nj dramatically cheaper virgin pretty pricey via united match
0,united dropped luggage iad months ago repair damages heard anything since get back
1,united thought thanks clarification
0,united feck guys stop cancelled flightling flights ewr ric weather fine locations
1,united ua rolling improvements think hoping catch soon meantime ana preference
2,united flyana official pleasantly surprised find ana made major upgrades transpacific route flights planes service
0,united step cancelled flight flight step notify customer step charge food try survive wait brilliant
1,united need confirmation number give
0,united besides small degree self interest take route several times year amp would hate situation
0,united rebooked casleah split take different flights pilot ran hours frustrating
2,united worries tweets make sure tag line fly friendly skies
2,united jsumiyasu thankful united ground staff put last seat last flight home late flight still home
2,united appreciate follow
0,united gist flight attendant told
0,united btw true remind flight staff checking even indicating meal prefer reservation
0,united took aback response flight attendant put responsibility squarely back passenger shoulders
0,united u cld explain disorganized inefficient company w surly obviously unhappy employees stays business
0,united sat airport hrs still sitting gate sigh
1,united actually consider might made mistake complain beyond indicated reservation
0,united gold star united change flight miss connections accommodate much late flightr arrival time happy
0,united first class cockup url
1,united day travel swag ijustwanttosleep
2,united thank new club hare comfortable made difficult weather days proficient enjoyable
1,united filled form sent link either
0,united let get iah hnl direct weather delay sfo leg stop reactive proactive
0,united bad coffee juice ok getphilz united terminal sfo airport url
0,united mot getting refund
0,united nothing apparently flown w times last weeks experiences incl today clusterfucks
0,united get name group sitting behind us think window seat overheard
0,united know united club needs power moar power insufficient outlets roadwarrior ord
0,united thrilled carry checked two nasty gate agents see entire empty bin boarded last
0,united business usual meant dropping bully mentality fostering inspiration greater business employeerelations
0,united ridiculous fly outdated anywhere much less btwn iah sfo power ports wifi personal entertainment torture
0,united last night waited forever gate someone corporate dispatch forgot call crew unfriendlyskies
0,united broken entertainment system hour nyc flight terrible cabin crew service online complaint form work hopeless
1,united much cost check additional bag traveling newark glasgow thank
0,united call work tell fault late flight
2,united new apple cr pe amazing live ua really nice crew americanair biscuits ua needs url
1,united clicked link got confused url
0,united officially worst delayed least helpful airline ever misfortune flying
0,united items sentimental value heartbroken missing
1,united even though technically land silver
0,united still waiting reply
0,united please see flight attendant enough room head bags carry save time
0,wanted get bag benefit instead get pricing three tickets adding card mp visa option united
0,united tried dm would go thru sure
0,united link current status flights airports fly bwi ewr mco morning yet yet tell problems except see snow
0,united like delays less one plane connect voucher
0,united hope nicer flight time try things right sold tickets connetion
0,united got gate iah time given seats closed flight know people arriving wait
0,united yes waited line almost hour passengers left wanting wait past
0,southwestair still waiting hit one hour
0,southwestair although happy cancelled flighted flight home tomorrow phx atl dca happy easy rebook
0,southwestair hello hold extremely long time confirmation amp get boarding pass tried numerous times
1,southwestair teaching new travelers research budget amp save trip today url
0,southwestair frustrated loooooong wait time speak live person get boarding pass flight tomorrow
0,southwestair still update text amp still response email fr sr feel like yr losing customer service care
0,southwestair agents ones rude unhelpful prompted initial tweet easy fix
0,southwestair wife group prev flight got bumped reason alone two kids least put group
0,southwestair flight delayed hrs months pregnant amp supposed caring mom whose surgery upset
2,southwestair thank much completely made things right
2,southwestair love always get best deals
1,southwestair follow send info
0,southwestair hold min far trying book seat infant price increased meantime
1,southwestair glassdoor best places work snagging overall notsurprising luvthem
0,southwestair poor performance around paid express checkin weeks ago even leverage bullshit
2,southwestair thx make right help meagan fouty brancato fl dfw gate preboard w kids b group please please
1,southwestair update emergency landing jacksonville right parentsonboard
1,southwestair hold minutes please help url
1,southwestair develop ding chrome firefox browser extension would swell
1,southwestair take u midway chicago march th april th make americanair get u fly ohare year round flypbi
0,southwestair logically would think check people board could drove home time waiting
2,southwestair thanks southwest saving trip sweetheart going miss seeing altonbrownlive thanks sohappy
0,southwestair someone call back hold two times today min still gotten
1,southwestair know suicide second leading cause death among teens
2,southwestair never mind moved flight tomorrow thanks help
1,southwestair needs wheelchair gate sure options
2,southwestair managed get sorted phone good luck dealing snow texas
0,southwestair grounded flights b c equipment problems amp rude wife traveling alone w young kids never
1,southwestair promise unfollow
1,southwestair dmed confirmation number
0,southwestair oh look delayed flight additional half hour arriving officially five hours planned
2,southwestair weather bc system outage hopefully everything goes smoothly thank follow
0,southwestair belt issues rough day worst part traveling month old wait outside degree
1,southwestair oh atlanta
0,southwestair moved pm flight main concern luggage arriving told sw
2,southwestair used always fly southwest
0,southwestair got bags hours late flightr offer go pick taxi costs one way spent inconvenience
0,southwestair thx expecting credit leg
1,southwestair sure please follow
0,southwestair appreciate getting gate issue figured grr plenty open gates yet sit wait tarmac
1,southwestair sent
0,southwestair minutes hold waiting ridiculous
0,southwestair u seen messages past hour
1,southwestair following
2,southwestair thank awesome flights sweetheart got screwed flyfrontier managed scramble get sw plane today
2,southwestair thanks much
2,southwestair round trip tickets arrived auction post masters invitational thanks southwest url
0,southwestair went purchase flight began processing even minutes earlier points gone help
0,southwestair upset luggage damaged rude employee laguardia airport help
2,southwestair tv stream means get spend flight watching women world cup finals throwback bestflightever
1,southwestair status bag check area ffl
2,southwestair heavenlychc least enjoy free cocktail two
2,southwestair agree rt news one airline fly away favorite dia newsbusiness url
0,southwestair flight matters hell next get luggage properly transferred facepalm smh
0,southwestair phone service sucks
1,southwestair flight bwi delayed miss flight denver way find hold plane
2,southwestair airport snow removal method keep good work folks cessna become url
0,southwestair people exit row still supposed give verbal approvals never asked flight
0,southwestair arrival delayed nearly hours yeah entire day airport idea stress less vacation fail
0,southwestair oh company caused us lose entire day vacation cancun de boarded waiting another plane
0,southwestair trying change reservation hold minutes online directed call help
0,southwestair first call got dropped waited mins second ran time try late flightr way online
0,southwestair yo trying make change reservation whenever select flight says unable price please help
0,southwestair great de boarding perfectly plane shot fml plans screwed thanks nothing southwestair
1,southwestair teyana taylor performing medusafridays free till url url themenofbusiness
0,southwestair let us plane bc toilets done even work goes family vacay playa del carmen mexico neveragain
0,southwestair thanks apology unfortunately one many bad experiences longer flying southwest
0,southwestair told customer service customer relations extend expiration date unused travel funds
0,southwestair smiles two hours ugh get vouchers inexcusable esp pre flight check ok
1,southwestair flight birmingham tomorrow night reschedule earlier flight expected snow
1,follow back dm southwestair
0,southwestair horrible experience passenger size seat offered voucher christine c url
1,southwestair rd time flying southwest two years another trip back mx october
0,southwestair yes much looking forward using airlines future flights never
0,southwestair need learn treat people respect little dignity fail
0,southwestair redeem points packages magically gone time finally got felt like baitandswitch
1,southwestair done
0,southwestair think get faster response twitter call
1,southwestair idea winter advisory posted atl tomorrow rather get phl tonight
0,southwestair watch staff check passenger list twice first time forgot look ids brutal
0,southwestair flight chi buf last night almost hour delay cuz someone got plane without pass sounds safe
2,southwestair thx quick response action bf make good use voucher satisfied happycustomer
0,southwestair nothing help us restore barely expired rapidrewards points
0,southwestair rapid rewards program sold short lasttweetaboutthis still disappointed
0,southwestair freezing plane
0,southwestair airline people screwed boarding passes way back puerto vallarta horrible
0,southwestair groupa group c never got sit next south west flight even honey moon
0,southwestair flight atlanta getting cancelled flightled schedule phone hours rep bumping us
0,southwestair due apparent water issue checked fine checks husband already deal first
0,southwestair u lot pissed hungry tired people stuck midway hours scheduled departure inexcusable
0,southwestair know lost baggage portal url work mobile url
0,southwestair going charge wifi us solid make sure take length flight open page
0,southwestair website reverted st flight minute delay changed reliable information
0,southwestair swa helps hotel industry always book flights day need somewhere swa consistent cancelled flights delays
0,southwestair unfortunately call answered service horrid swa role model finger pointing amp excuses disappointed
1,southwestair barzegar charges tourists euros night stay tent village runs url
1,southwestair please make sense companion promo set
1,southwestair unfortunately even phone died chance grab oma san
1,southwestair live atlanta cant enroll atlanta companion promotion error every time help also sent email thanks
0,southwestair frustrating indeed especially one knows issue
0,southwestair hold customer service may quicker rebooked trip lower fare difference go
1,southwestair chantilly paris france
0,southwestair thx responding
0,southwestair booked flight phone never got confirmation email would go getting
0,southwestair supposed take almost hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze
0,southwestair come getting points buy rapid reward shopping site
1,southwestair hey flying tampa denver today want know tv seats like jetblue
1,southwestair carol thrower passengers fort lauderdale airport
0,southwestair mins answer wife baby need get flight arrived hrs prior please help venetia crook
0,southwestair wife month old might miss flight next direct pm mother law hold customer support
0,southwestair flight fll atl wife traveling infant line check baggage people long due computer system crash
2,southwestair thanks sent dm let know oyu need additional information
0,southwestair hey friends phone list number ivr hangs multiple times sure proceed
2,southwestair strives customer centric everything communications advertising customer journey etc anamarketers
0,southwestair la always traffic insane one issue flight
0,southwestair insane traffic la trying call schedule flight phone minutes nothing
1,southwestair airline trouble amp getting satisfactory customer service contact url negotiate resolutions
1,southwestair hey southwest help find flight nashville washington dc raleigh march please
0,southwestair longer change trips companion online years get message done online
0,southwestair adding rr number marriott stay hard take rr number checkin marriott phone cs helpful
0,southwestair spiritairlines fly toronto killing smalls
1,southwestair thank
1,southwestair traditionally used sledge hammer low taking share driving scalpel approach data science anamarketers
2,southwestair customer centricity knowing people anamarketers
0,southwestair used guys travels last experience never use southwest worstcustomerservice
1,southwestair america largest airline passengers carried wonder b c customer service bible anamarketers
0,southwestair vipliveinthevieyard first time tried redeem pts anything really go well disappointed
2,southwestair ok thank hope
0,southwestair way receive refund trip cancelled flight online instead calling phone lines super busy
2,southwestair intuit jhamilton moms careers day trip la intuitlife leanin url southwestairlines
1,southwestair resource check delays cancelled flightlations love field flying tomorrow stressed weather
0,southwestair switching planes due mechanical problems reboarding work end long line stuck middle
0,southwestair booked via phone calling list preferred kta get added ticket must use web
0,southwestair tried vip live vineyard yr site went time got redeem pts packages gone
1,southwestair oscar worthy entrance la url
2,southwestair best airline hands amazing customer service bags free affordable flights happycamper
2,southwestair thanks ella mae las counter going beyond help us get back abq flight cancelled flightled
1,southwestair phlairport flight arrives e penguin plane
2,southwestair thank taking good care people als url kevinswan alstdi life story
2,southwestair smoooothest flight attendants southwestsmoothie url
0,southwestair southwest airline cancelled flight flights charleston pm flight cancelled flightation really weather relate flightd
1,southwestair stepup makeitright best money hungry wewillsee
0,southwestair thanks text exactly timely data throughout issues today maybe url
0,southwestair called rep pleasant less helpful told sol train consistent cx
0,southwestair year customer lost inches really hurt every time person front shifts raps knees
1,southwestair less pts helped partnerrewards incoming fast enough keep pts expiring
1,southwestair wife rr pts expired days ago planning flight booking problems trip today anything us tight budget
0,southwestair would great atleast next husband flying reservation
0,southwestair customer relations still open texas
2,southwestair thank tip
0,southwestair hate evolved seating knees seat pocket url
2,southwestair thanks team dealing flight houston
2,southwestair bumped preboard flights fat whatever reason thanks
0,southwestair heart southwest commercials aimed satisfy nano smattering travelers destinations
1,southwestair urgently need two receipts sent cs closed help
1,southwestair sent
0,southwestair etd swa phl appears delayed info available gate
0,southwestair tell cancelled flightled flight vs delay
0,southwestair bday yesterday girl gave birth first born get courtesy flight change lynn thanks
1,cb know southwestair
0,southwestair need know status cancelled flightled instead delaying flight
0,southwestair weather time cancelled flighted meeting today
1,southwestair flight empty rude url
2,southwestair left ipad seat pocket filed lost item report received exactly week late flightr record unbelievable
0,southwestair flight msp cancelled flighted
0,southwestair luv please stop overheating planes second flight row feels like sauna
1,southwestair one traveling asking sister waiting nephew midland flight eventually landed
2,southwestair anyone help upgrade buisness select cant seem get hail right area know guys good
0,southwestair asked lindsey call instead dm like schoolgirl far call getting tired typing little notes
0,southwestair give us clever advertising bagsflyfree badpolicy allows cheatcustomers
0,southwestair principle hard get mugged amp upset took money amp give anything wrongiswrong
0,southwestair customer service use words wasted time took money badbussiness theft url
0,southwestair three hour flight orlando wifi uncool firstworldproblems
2,southwestair loving new planes lighting wish windows larger url
0,southwestair would like ask bags picked pit amp taken hotel airport someone contact
0,southwestair customer service fll bwi pit terrible one knows bags job clothes amp gear
0,southwestair multiple attempts finally able submit late flight last night
0,southwestair arrive find already cancelled flighted options miss meeting might know show
1,southwestair new day new chance right thing never late flight honest
0,southwestair darn bought wrong device way switch sure
1,southwestair quick question bought wifi phone buy tablet hours left trip
2,southwestair cool shot moon one fleet url
1,southwestair hello swa poc partnerships nonprofit organizations bwi area
0,southwestair hey remember time lost husbands bags filmjobnoequipment nowarmclothes
2,southwestair looking forward flying swa friday luv airline dtw mdw tus
2,southwestair love airline much thanks much service great snacks amazing everything outstanding thanks
0,southwestair need redeem lost respect tonight lostbags filmjobnoequipment
0,southwestair way fuck lose c istudios bags husband warm clothes equipment youdidit notcool
1,southwestair assigned seating cousin amp probably sit together flight tomorrow thanks
0,southwestair wifi stays connected lifetime higgs boson
1,southwestair forget wedding fairs discounts nonprofits donate part worth every single day
0,southwestair phone agents able give correct departure times cun checkin online international
0,southwestair making miss thebachelor right wah
1,southwestair please lower plane flight like bucks thanks floridavacation
2,southwestair great flight cabo last week family smoothflight frequentflyer
0,southwestair let bags flutter charge travelers change dates fullprice let travel
2,southwestair late flightst ad makes happy flying days bethonors
2,southwestair fact u see black history month months year honorable economic base corp like u future
1,southwestair offer cdn border towns incentive fly since exchange rates hurt customerappreciation gaincustomers keepem
2,southwestair awesome flight dallas ny virgin america refused bc child peanut allergy u guys thanks
0,southwestair let send dm follow lovedflyingwiththem notanymore wrong badpolicy
1,southwestair reference
0,southwestair welcome thoughts nearly entire plane
1,southwestair know reason flight dallas midland diverted lubbock suppose direct midland
